type,part,material,thickness_or_section,length_mm,width_mm,qty,notes
profile,Rail spacer front left,"20x40 alu box, rail spacer / air dam",22x40 (20x40 + shim),731.2,,1,
profile,Rail spacer front right,"20x40 alu box, rail spacer / air dam",22x40 (20x40 + shim),731.2,,1,
profile,Rail spacer rear left,"20x40 alu box, rail spacer / air dam",22x40 (20x40 + shim),731.2,,1,
profile,Rail spacer rear right,"20x40 alu box, rail spacer / air dam",22x40 (20x40 + shim),731.2,,1,
profile,Post FL,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,1786.2,,1,
profile,Post FR,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,1786.2,,1,
profile,Post RL,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,1786.2,,1,
profile,Post RR,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,1786.2,,1,
profile,Rail Base left,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,984.0,,1,
profile,Rail Base right,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,984.0,,1,
profile,Rail Mid left,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,984.0,,1,
profile,Rail Mid right,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,984.0,,1,
profile,Rail Shelf left,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,984.0,,1,
profile,Rail Shelf right,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,984.0,,1,
profile,Rail Top left,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,984.0,,1,
profile,Rail Top right,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,984.0,,1,
profile,Upright front left,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,731.2,,1,
profile,Upright front right,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,731.2,,1,
profile,Upright rear left,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,731.2,,1,
profile,Upright rear right,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,731.2,,1,
profile,Rail Base front,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,534.0,,1,
profile,Rail Base rear,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,534.0,,1,
profile,Rail Mid rear,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,534.0,,1,
profile,Rail Shelf front,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,534.0,,1,
profile,Rail Shelf rear,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,534.0,,1,
profile,Rail Top front,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,534.0,,1,
profile,Rail Top rear,Aluminium 4040 T-slot (alt. 40x40x2 SHS),40x40,534.0,,1,
profile,Cleat floor left,Aluminium angle 20x20x2,20x20x2 L,984.0,,1,
profile,Cleat floor right,Aluminium angle 20x20x2,20x20x2 L,984.0,,1,
profile,Cleat shelf left,Aluminium angle 20x20x2,20x20x2 L,984.0,,1,
